地区名称,医療機関名医療機関住所,医療機関住所　,来院,インターネット,電話,電話番号,受入,備考
安井,永井医院,西宮市江上町,〇,×,〇,0798-23-1561,一般,接種日は8月末以降
安井,松澤整形外科,西宮市産所町,○,×,,,一般,
瓦木,わしお耳鼻咽喉科,西宮市瓦林町,○,×,○,0798-56-8733,一般,
瓦木,江原産婦人科医院,西宮市二見町,○,×,○,0798-67-1162,一般,
瓦木,三好病院,西宮市甲子園口北町,,,,,一般,
瓦木,整形外科たかひろクリニック,西宮市瓦林町,○,×,○,0798-31-5657,一般,
瓦林,ゆぐちクリニック,西宮市松山町,○,×,○,0798-67-3400,一般,
広田,みった整形外科,西宮市能登町,○,×,○,0798-76-5521,一般,
甲東,しもながたクリニック,西宮市門戸荘,,,,,一般,
甲東,奥田医院,西宮市下大市東町,今後予約開始予定,,,0798-54-0131,一般,
甲東,熊野病院,西宮市下大市西町,,×,○,0798-52-3221,一般,
甲東,徐クリニック,西宮市松籟荘,×,×,○,0798-54-8551,一般,
甲東,森耳鼻咽喉科医院,西宮市甲東園１丁目,×,○,○,0798-52-3387,一般, https://mori-jibika.mdja.jp/
甲東,内科小児科たきぐち医院,西宮市上大市１丁目,○,,○,0798-57-2811,一般,
甲東,風川医院,西宮市門戸荘,○,×,○,0798-52-2018,一般,
甲陽園,やまだ小児科,西宮市甲陽園本庄町,×,×,,0798-78-5255,一般,対象は高校生以上
香櫨園,中野医院,西宮市川添町,○,×,×,,一般,
高須・高須西,ジン医院,西宮市高須町１丁目,○,○,,,一般,
高須・高須西,大岡内科医院,西宮市高須町２丁目,○,○,×,,一般,WEB予約は7月半ばから 開始予定 https://www.ooka-naika.com/
今津,医療法人喜望会 谷向病院,西宮市今津水波町,×,×,○,080-6781-5144,一般,
今津,松本整形外科診療所,西宮市今津二葉町,○,×,○,0798-35-5535,一般,
山口,高田上谷病院,西宮市山口町上山口４丁目,○,×,○,078-903-3333,一般,
山口,内橋内科医院,西宮市山口町下山口４丁目,○,×,○,078-903-5722,一般,
山口,白川外科胃腸科,西宮市山口町名来１丁目,○,×,○,078-904-2020,一般,
夙川,ひぐち内科,西宮市羽衣町,,,○,0798-33-3788,一般,
小松,大岡クリニック,西宮市小松南町１丁目,×,○,×,一般, https://www.ooka-clinic.jp/,
小松,白瀉医院,西宮市小松南町２丁目,7月中旬予約開始予定,,,一般,２０歳以上のみ,
